Album,Song,Lyrics
Hybrid Theory,Cure For The Itch,"Folks, we have a very special guest for you tonight.
I'd like to introduce...
Mr. Hahn!
Let's hear it for the great Mr. Hahn!
And now for a lesson in rhythm management.
Let's begin...
Alright now. Wasn't that fun?
Let's try something else."
Hybrid Theory,Pushing Me Away,"[Chester Bennington:]
I've lied to you
The same way that I always do
This is the last smile
That I'll fake for the sake of being with you
[Chester Bennington (Mike Shinoda):]
(Everything falls apart
Even the people who never frown
Eventually break down)
The sacrifice of hiding in a lie
(Everything has to end
You'll soon find we're out of time left
To watch it all unwind)
The sacrifice is never knowing
[Chester Bennington:]
Why I never walked away
Why I played myself this way
Now I see your testing me pushes me away
Why I never walked away
Why I played myself this way
Now I see your testing me pushes me away
I've tried like you
To do everything you wanted to
This is the last time
I'll take the blame for the sake of being with you
[Chester Bennington (Mike Shinoda):]
(Everything falls apart
Even the people who never frown
Eventually break down)
The sacrifice of hiding in a lie
(Everything has to end
You'll soon find we're out of time left
To watch it all unwind)
The sacrifice is never knowing
[Chester Bennington:]
Why I never walked away
Why I played myself this way
Now I see your testing me pushes me away
Why I never walked away
Why I played myself this way
Now I see your testing me pushes me away
[Chester Bennington (Mike Shinoda):]
(We're all out of time
This is how we find how it all unwinds)
The sacrifice of hiding in a lie
(We're all out of time
This is how we find how it all unwinds)
The sacrifice is never knowing
[Chester Bennington:]
Why I never walked away
Why I played myself this way
Now I see your testing me pushes me away
Why I never walked away
Why I played myself this way
Now I see your testing me pushes me away
Pushes me away
"
Hybrid Theory,High Voltage,"You know what I mean
You could put a label on a life
Put a label on a lifestyle
Sometimes...
You know
Put a label on how you wake up every morning
And go to bed at night
Hybrid
I've been digging into crates ever since I was living in space
Before the rat race, before monkeys had human traits
I mastered numerology and Big Bang theology
Performed lobotomies with telekinetic psychology
Invented the mic so I could start blessing it
Chin-checking kids to make my point like an impressionist
Many men have tried to shake us
But I twist mic cords to double helixes and show them what I'm made of
I buckle knees like leg braces
Cast the spell of instrumentalness
And all of you MCs who hate us
So you can try on
Leave you without a shoulder to cry on
From now to infinity let icons be bygones
I fire bomb ghostly notes haunt this
I tried threats but moved on to a promise
I stomp shit with or without an accomplice
And run the gauntlet with whoever that wants this
High voltage
The unforgettable sound
High voltage
Bringing you up and taking you down
High voltage
Coming at you from every side
High voltage
Making the rhythm and rhyme collide
Akira
I put a kink in the backbones of clones
With microphones
Never satisfy my rhyme jones
Spraying bright day
Over what you might say
My blood type's Krylon
Technicolor type A
On highways ride with road rage
Cages of wind
And cages of tin
That bounce all around
Surround sound
Devouring the scene
Subliminal gangrene
Paintings
Overall the same thing
Sing song karaoke copy bullshit
Break bones verbally with sticks-and-stone tactics
Fourth dimension
Combat convention
Write rhymes at ease while the track stands at attention
Meant to put you away with the pencil
Pistol, official
16 line a rhyme missile
While you risk your all
I pick out all your flaws
Spin rah blah blah blah
You can say you saw
[2x]
High voltage
The unforgettable sound
High voltage
Bringing you up and taking you down
High voltage
Coming at you from every side
High voltage
Making the rhythm and rhyme collide
And like the rock and rap
You know what I mean
People act like you know
Wow that's a new invention
That shit's brand new
We're constantly evolving
It is constantly changing
Sometimes...
There's a lot of change
Everybody's always up with labels
There ain't no label for this shit
They're always gonna try to put a label on it
Try to create something
So they can water it down
[2x]
Sometimes I feel like a prophet
Misunderstood
Under the gun like a new disease
[4x]
High voltage
The unforgettable sound
High voltage
Bringing you up and taking you down
High voltage
Coming at you from every side
High voltage
Making the rhythm and rhyme collide
You know what I mean, you can put a label on a lifestyle"
Meteora,Don't Stay,"Sometimes I need to remember just to breathe
Sometimes I need you to stay away from me
Sometimes I'm in disbelief I didn't know
Somehow I need you to go
Don't stay
Forget our memories
Forget our possibilities
What you were changing me into
(Just give me myself back and)
Don't stay
Forget our memories
Forget our possibilities
Take all your faithlessness with you
Just give me myself back and
Don't stay
Sometimes I feel like I trusted you too well
Sometimes I just feel like screaming at myself
Sometimes I'm in disbelief I didn't know
Somehow I need to be alone
Don't stay
Forget our memories
Forget our possibilities
What you were changing me into
(Just give me myself back and)
Don't stay
Forget our memories
Forget our possibilities
Take all your faithlessness with you
Just give me myself back and
Don't stay
I don't need you anymore, I don't want to be ignored
I don't need one more day of you wasting me away
I don't need you anymore, I don't want to be ignored
I don't need one more day of you wasting me away
With no apologies
Don't stay
Forget our memories
Forget our possibilities
What you were changing me into
(Just give me myself back and)
Don't stay
Forget our memories
Forget our possibilities
Take all your faithlessness with you
Just give me myself back and
Don't stay
Don't stay
Don't stay"
Meteora,Somewhere I Belong,"[Mike Shinoda (Chester Bennington):]
(When this began)
I had nothing to say
And I'd get lost in the nothingness inside of me
(I was confused)
And I let it all out to find
That I'm not the only person with these things in mind
(Inside of me)
But all the vacancy the words revealed
Is the only real thing that I've got left to feel
(Nothing to lose)
Just stuck, hollow and alone
And the fault is my own, and the fault is my own
[Chester Bennington:]
I wanna heal, I wanna feel what I thought was never real
I wanna let go of the pain I've felt so long
(Erase all the pain 'til it's gone)
I wanna heal, I wanna feel like I'm close to something real
I wanna find something I've wanted all along
Somewhere I belong
[Mike Shinoda (Chester Bennington):]
And I've got nothing to say
I can't believe I didn't fall right down on my face
(I was confused)
Looking everywhere only to find
That it's not the way I had imagined it all in my mind
(So what am I?)
What do I have but negativity
'Cause I can't justify the way, everyone is looking at me
(Nothing to lose)
Nothing to gain, hollow and alone
And the fault is my own, and the fault is my own
[Chester Bennington:]
I wanna heal, I wanna feel what I thought was never real
I wanna let go of the pain I've felt so long
(Erase all the pain 'til it's gone)
I wanna heal, I wanna feel like I'm close to something real
I wanna find something I've wanted all along
Somewhere I belong
I will never know myself until I do this on my own
And I will never feel anything else, until my wounds are healed
I will never be anything 'til I break away from me
I will break away, I'll find myself today
I wanna heal, I wanna feel what I thought was never real
I wanna let go of the pain I've felt so long
(Erase all the pain 'til it's gone)
I wanna heal, I wanna feel like I'm close to something real
I wanna find something I've wanted all along
Somewhere I belong
I wanna heal, I wanna feel like I'm somewhere I belong
I wanna heal, I wanna feel like I'm somewhere I belong
Somewhere I belong"
Meteora,Lying From You,"[Mike Shinoda:]
When I pretend, everything is what I want it to be
I look exactly like what you had always wanted to see
When I pretend, I can forget about the criminal I am
Stealing second after second just 'cause I know I can
[Mike Shinoda (Chester Bennington):]
But I can't pretend this is the way it'll stay
I'm just (trying to bend the truth)
I can't pretend I'm who you want me to be
So I'm (lying my way from you)
No, no turning back now
(I wanna be pushed aside, so, let me go)
No, no turning back now
(Let me take back my life)
(I'd rather be all alone)
No turning back now
(Anywhere on my own)
('Cause I can see)
No, no turning back now
(The very worst part of you is me)
[Mike Shinoda:]
I remember what they taught to me
Remember condescending talk of who I ought to be
Remember listening to all of that and this again
So I pretended up a person who was fittin' in
[Mike Shinoda (Chester Bennington):]
And now you think this person really is me
And I'm (trying to bend the truth)
But the more I push the more I'm pulling away
'Cause I'm (lying my way from you)
No, no turning back now
(I wanna be pushed aside, so, let me go)
No, no turning back now
(Let me take back my life)
(I'd rather be all alone)
No turning back now
(Anywhere on my own)
('Cause I can see)
No, no turning back now
(The very worst part of you)
(The very worst part of you is me)
[Mike Shinoda 4x:]
This isn't what I wanted to be
I never thought that what I said would have you running from me
Like this
[Mike Shinoda (Chester Bennington):]
(You)
No turning back now
(I wanna be pushed aside, so, let me go)
No, no turning back now
(Let me take back my life)
(I'd rather be all alone)
No turning back now
(Anywhere on my own)
('Cause I can see)
No, no turning back now
(The very worst part of you)
(The very worst part of you is me)"
Meteora,Hit The Floor,"[Mike Shinoda:]
There are just too many times that people have tried to look inside of me
Wondering what I think of you and I protect you out of courtesy
Too many times that I've held on when I needed to push away
Afraid to say what was on my mind, afraid to say what I need to say
Too many things that you've said about me when I'm not around
You think having the upper hand means you gotta keep putting me down
But I've had too many stand-offs with you, it's about as much as I can stand
So I'm waiting until the upper hand is mine
[Mike Shinoda (Chester Bennington):]
(One minute you're on top)
The next you're not, watch it drop
(Making your heart stop)
Just before you hit the floor
(One minute you're on top)
The next you're not, missed your shot
(Making your heart stop)
You think you won
(And then it's all gone)
[Mike Shinoda:]
So many people like me put so much trust in all your lies
So concerned with what you think to just say what we feel inside
So many people like me walk on eggshells all day long
All I know is that all I want is to feel like I'm not stepped on
There are so many things you say that make me feel you've crossed the line
What goes up will surely fall and I'm counting down the time
'Cause I've had so many stand-offs with you, it's about as much as I can stand
So I'm waiting until the upper hand is mine
[Mike Shinoda (Chester Bennington):]
(One minute you're on top)
The next you're not, watch it drop
(Making your heart stop)
Just before you hit the floor
(One minute you're on top)
The next you're not, missed your shot
(Making your heart stop)
You think you won
(And then it's all gone) [4x]
(Now it's all gone)
[Mike Shinoda:]
I know I'll never trust a single thing you say
You knew your lies would divide us, but you lied anyway
And all the lies have got you floating up above us all
But what goes up has got to fall
[Mike Shinoda (Chester Bennington):]
(One minute you're on top)
The next you're not, watch it drop
(Making your heart stop)
Just before you hit the floor
(One minute you're on top)
The next you're not, missed your shot
(Making your heart stop)
You think you won
(And then it's all gone) [4x]
(Now it's all gone)"
Meteora,Easier To Run,"[Chester Bennington:]
It's easier to run
Replacing this pain with something numb
It's so much easier to go
Than face all this pain here all alone
Something has been taken from deep inside of me
A secret I've kept locked away no one can ever see
Wounds so deep they never show, they never go away
Like moving pictures in my head, for years and years they've played
[Mike Shinoda:]
If I could change, I would take back the pain.
I would retrace every wrong move that I made.
I would...
If I could stand up and take the blame, I would.
If I could take all the shame to the grave, I would.
[Mike Shinoda and Chester Bennington:]
If I could change, I would take back the pain.
I would retrace every wrong move that I made.
I would...
If I could stand up and take the blame, I would.
I would take all my shame to the grave.
[Chester Bennington:]
It's easier to run
Replacing this pain with something numb
It's so much easier to go
Than face all this pain here all alone
Sometimes I remember the darkness of my past
Bringing back these memories I wish I didn't have
Sometimes I think of letting go and never looking back
And never moving forward so there'd never be a past
[Mike Shinoda:]
If I could change, I would take back the pain.
I would retrace every wrong move that I made.
I would...
If I could stand up and take the blame, I would.
If I could take all the shame to the grave, I would.
[Mike Shinoda and Chester Bennington:]
If I could change, I would take back the pain.
I would retrace every wrong move that I made.
I would...
If I could stand up and take the blame, I would.
I would take all my shame to the grave.
[Chester Bennington:]
Just washing it aside
All of the helplessness inside
Pretending I don't feel misplaced
Is so much simpler than change
It's easier to run
Replacing this pain with something numb
It's so much easier to go
Than face all this pain here all alone
[Chester Bennington (Mike Shinoda):]
It's easier to run
(If I could change, I would take back the pain.
I would retrace every wrong move that I made.)
It's easier to go
(If I could change, I would take back the pain
I would retrace every wrong move that I made.
I would...
If I could stand up and take the blame, I would.
I would take all my shame to the grave)"
Meteora,Faint,"[Mike Shinoda:]
I am a little bit of loneliness, a little bit of disregard
Handful of complaints, but I can't help the fact that everyone can see these scars
I am what I want you to want, what I want you to feel
But it's like no matter what I do, I can't convince you, to just believe this is real
So I let go watching you, turn your back like you always do
Face away and pretend that I'm not
But I'll be here 'cause you're all that I got
[Chester Bennington:]
I can't feel the way I did before
Don't turn your back on me
I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me
I won't be ignored
[Mike Shinoda:]
I am a little bit insecure, a little unconfident
'Cause you don't understand I do what I can but sometimes I don't make sense
I am what you never wanna say, but I've never had a doubt
It's like no matter what I do I can't convince you for once just to hear me out
So I let go watching you, turn your back like you always do
Face away and pretend that I'm not
But I'll be here 'cause you're all that I've got
[Chester Bennington:]
I can't feel the way I did before
Don't turn your back on me
I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me
I won't be ignored
Now
Hear me out now
You're gonna listen to me, like it or not
Right now
Hear me out now
You're gonna listen to me, like it or not
Right now
I can't feel the way I did before
Don't turn your back on me
I won't be ignored
I can't feel the way I did before
Don't turn your back on me
I won't be ignored
Time won't heal this damage anymore
Don't turn your back on me
I won't be ignored
I can't feel
Don't turn your back on me
I won't be ignored
Time won't heal
Don't turn your back on me
I won't be ignored
"
Meteora,Figure.09,"[Mike Shinoda:]
Nothing ever stops all these thoughts and the pain attached to them
Sometimes I wonder why this is happening
It's like nothing I could do will distract me when
I think of how I shot myself in the back again
'Cause from the infinite words I could say
I put all the pain you gave to me on display
But didn't realize instead of setting it free
I took what I hated and made it a part of me
It never goes away
It never goes away
[Chester Bennington:]
And now you've become a part of me
You'll always be right here
You've become a part of me
You'll always be my fear
I can't separate
Myself from what I've done
Giving up a part of me
I've let myself become you
[Mike Shinoda:]
Hearing your name, the memories come back again
I remember when it started happening
I'd see you in every thought I had and then
The thoughts slowly found words attached to them
And I knew as they escaped away
I was committing myself to them and everyday
I regret saying those things 'cause now I see
That I took what I hated and made it a part of me
It never goes away
It never goes away
[Chester Bennington:]
And now you've become a part of me
You'll always be right here
You've become a part of me
You'll always be my fear
I can't separate
Myself from what I've done
Giving up a part of me
I've let myself become you
[Mike Shinoda and Chester Bennington:]
Never goes away
Never goes away
It never goes away
It never goes away
(Get away from me)
Give me my space back you gotta just (go)
Everything comes down to memories of (you)
I've kept it in but now I'm letting you (know)
I've let you go so get away from (me)
Give me my space back you gotta just (go)
Everything comes down to memories of (you)
I've kept it in but now I'm letting you (know)
I've let you go
[Chester Bennington:]
And now you've become a part of me
You'll always be right here
You've become a part of me
You'll always be my fear
I can't separate
Myself from what I've done
Giving up a part of me
I've let myself become you
I've let myself become you
I've let myself become lost inside these thoughts of you
Giving up a part of me
I've let myself become you"
