Song,Album,Release_Date,Lyrics
Fuck You Tahm Bout,10 Day,4/3/2012,"10 days?Are you for real? Are you serious?Fuck it then!Fuck you tahm bout? Nigga, fuck you tahm bout?Fuck you tahm bout? Nigga, fuck you tahm bout?Fuck you, fuck you talm bout? Fuck you, fuck you talm bout?Nigga, fuck you, nigga, fuck you, nigga, fuck you talm bout?Nigga, fuck you talm bout? Fuck you talm bout?Nigga, fuck you talm bout? Fuck you talm bout?Fuck, fuck you talm bout? Nigga, fuck you talm bout?Nigga, fuck you talm bout? Fuck you, fuck you, niggaFuck you talm, fuck you talm bout? Nigga, fuck you talm bout?Fuck you talm bout? Nigga, fuck you, nigga, fuck you talmFuck you tahm bout? Nigga, fuck you tahm bout?Nigga, fuck you, nigga, nigga, fuck, fuck, fuck, talm, talm, talmNigga, fuck this whole school and everything you tahm 'boutDon't ask me for no I.D., bitch I fucking signed outBitch I've been suspended, bitch I've been on timeoutWaking up in grind mode and sleeping in a grindhouseSo please don't hit my line 'bout the party trying to find outWhat time that shit going to startOr when it end, or who gone come outOr if I walked the stageI've been on stage since I could rhyme outShows and shows and tapesOf trying to get my fucking lines outSo please don't take my BIC out, my book out, my pick outMy hair, my fucking big mouth, you dick head you dipped outOf class and now you shit out of luck, who fucking slick nowAnd with them rhymes you written downI hope you get a mix downWith a diss track from Ms. RowndAnd my dick sack in this bitch mouthGive a five-hive to my teacher faceAnd my principal that fist poundAnd now you gotta switch gownsWe caught you, little rascalWe got you throwing tantrumsWhen you could've thrown a tassel, ahhNigga, fuck you talm bout? Fuck you talm bout?Nigga, fuck you talm bout? Fuck you talm bout?Fuck, fuck you talm bout? Nigga, fuck you talm bout?Nigga, fuck you talm bout? Fuck you, fuck you, niggaFuck you talm, fuck you talm bout? Nigga, fuck you talm bout?Fuck you talm bout? Nigga, fuck you, nigga, fuck you talmFuck you tahm bout? Nigga, fuck you tahm bout?Nigga, fuck you, nigga, fuck, fuck, fuck, fuck you talm bout?Nigga you're a weakling, why you talking dealing?Like, ""All my niggas flip birds!"" Nigga, you're a wing-zingYou ain't nothing but my seedling, I'll hang you from the ceilingAnd leave yo' little ass leaking, and leave yo' body stinkingDude yo' ass been drinking? Or you just wasn't thinking?I'll hit you with that 6-piece: bink, bink, bink, bink, bink, bink!I hear you're pockets jinglingIt's calling me like ""ring, ring!""I'll choke you with your bling blingThen run faster than Tink TinkAnd all these goofies mad thoughLike, ""Why he such a asshole?""And I ain't even mad yo, I'll stab you with a screwdriverThat shit ain't even rhyme niggaI'm fucked up out my mind niggaI stay right off the '9 niggaThat's where they try an' find a niggaFeeling froggy? Better timid upHarsh feelings gone, put 'em in a bluntCause niggas don't wanna get bended upStay talking but don’t send it upUsed to send it up for my skinner lunchSave money niggas really won't spend a buckGimme that cash, that ben what upPockets keep that denim bruh like ahhNigga, fuck you talm bout? Fuck you talm bout?Nigga, fuck you talm bout? Fuck you talm bout?Fuck, fuck you talm bout? Nigga, fuck you talm bout?Nigga, fuck you talm bout? Fuck you, fuck you, niggaFuck you talm, fuck you talm bout? Nigga, fuck you talm bout?Fuck you talm bout? Nigga, fuck you, nigga, fuck you, niggaFuck you tahm bout? Nigga, fuck you tahm bout?Nigga, fuck you, nigga, fuck, fuck, fuck, fuck you talm bout?Fuck you talm bout?Fuck you talm bout?Fuck you talm bout?Fuck you talm bout?Fuck you talm bout?Fuck you talm bout?Fuck you talm bout?"
Long Time Part 2,10 Day,4/3/2012,"I wonder if Gladys smiles when angels bring my name upOr change language and subject change upHer boy’s a long way from red dolls and green rangersThings ain’t been the same since Ms. Patterson called me famousI saw your reflection in a toilet full of vomit waterYou don’t think I felt your hand on my head yelling, “Call his father”But people don’t hear ghost, so how they gon' play me?Money saved me, so I’ma do the same thingYou droppin' pounds, gettin' small on some sick shitLike how you got the drive but don’t know how to use a stick shift?You better not miss this, overdose dope and mix thisLet your throat close with a boatload of dope quotes within itLong time now since I seen you smileLong time long time now, since I seen you smileAnd it's been a long time, long time nowSince I seen you smileDropping tapes 'till I lost the countCoughing out bloodDropping weight like I lost an ounceThrowing words and tossing nounsNY traveling, I’m Boston bound, bossing 'round homiesAnd talking down to shorties while I’m jotting downNotes to spit to Harlem crowdsSurfing through the Harlem crowdsAt the crib I’m falling downI'm on the floor crawling 'roundI’m calling out to God, ""You’re little angel's falling downSave me from my darkened cloudReach your hands and arms around""Long time long time now, since I seen your smileWe miss you#10DayIt's been a really, really long time, long timeSince a goof ass nigga done tried meLabel niggas wanna sign meAnd lame ol' nigga wanna buy meFood and weed and drink and shitJust as long as you inkin shitSometimes I can't pay for foodCause sometimes I can't think of shitWhere's your head at? Where's your head at?Singing my shit like you just said thatWanging my shit like where'd you hear that?Young ass nigga where you headed? Long time to get famousLife's whatever you make it, just thank God that we made it"
Prom Night,10 Day,4/3/2012,"Charlie Bartlett, John BenderClass Switcher, Time BenderChance Bennett, a peculiar nameGraduation night teachers Ferris Bueller'd my nameYou made a mixtape? Good job, I hope you get a good jobWe was all outcasts, only listened to Good MobI performed at fun fair, fun factI'm never going back to school, been there, done thatThey see my little 10 Day tape and my dumb rapsDon't call it impossible, if you really want thatThey send my ass to summer school, don't call it a comebackI just came to beat a bully's ass and get my lunch backChano y tequila you know you know you don't want thatI rap my songs in Spanglish, I wrap my weed in blunt wrapsWrapped up in this one line I hope that shit get unwrappedAs if niggas was getting signed off of a line off one rapYo Vic, remember when they called us some freshmen niggas rapping?Now I ain't gonna be a freshman and I'm rappingI should've learned a lesson from all of this shit happeningI just look over to Justin for refreshments of the CaptainIt's sipping when it's weak sauce, it's shots if it's crackingSip it when we tear up, and chug it if we laughingFuck it if we're fucked up I never thought of ChathamUntil the day they said I would have to chat without emAnd I'm just in the studio hoping that it sounds rightHere's a brighter bulb for your limelightAnd this is your night, homie, shine brightThis for everybody's fucking prom nightAnd it's alright, and it's okayAnd we're all good, we're with homiesAny problems, you can call usIt's all love, it's all loveAnd it's alright, and it's okayAnd we're all good, we're with homiesAny problems, you can call usIt's all love, it's all loveUh, yo this prom shit feel like the Grammy's yoThese pictures Granny took gonna make me ask where'd Granny goSo pass the Sanyo to Auntie JoAnd snap a couple candid's of the family, get some cameosYou can change the clocks but you can't change hoursI'm waiting on the day, Spring can't bring flowersLet me ask for minutes from dad for those campaign hoursAnd pour these thirsty hoes a couple champagne showersAnd hop up in that limo, the hood going dummyThe hood fucking love me, the hood think we lovelySo go and pop some bubbly, this right here's to loyaltyThis to a moment's glimpse at royaltyThis is for my momma Jan who spoiled meLook what we've accomplishedTime flies, watches look like magnets on a compassBefore we dip, Gladys said a prayer over the limoBumping 10 Day with the Angels with Jesus shopping my demoAnd rode up out of Chatham, the whole hood clappingAnd damn it would be crazy if any of this shit had happenedBut it didn't, I missed prom, I missed it to spinI did a show at AKIN and I would do it againAnd it's alright, and it's okayAnd we're all good, we're with homiesAny problems, you can call usIt's all love, it's all loveAnd it's alright, and it's okayAnd we're all good, we're with homiesAny problems, you can call usIt's all love, it's all loveLook at, look at your business tux, all night airplaneGo and get your racist on, all white everythingI'm on my paper now, put that on my headingI ain't even write this down I don't write errthingI know y'all don't like everythingShe want a night she can call her weddingGiving Eskimo kisses, with some Eskimo bitchesNose diving, going all night sleddingCoked out like ""Don't change when you grow upI hope you get some change when you blow up""Cause honestly I've always loved the way that you could throw upRest up on my shoulder, float up flying lotus""You deserve a warm towel, you deserve a sodaYou deserve a quiet room, you deserve a sofaYou deserve a Ferrari and a matching tiaraAnd a hand to wipe away all that running mascara""But I, I want to thank you for this prom nightThank you for this prom nightThank you for this prom nightI really enjoyed my prom nightAnd it's alright, and it's okayAnd we're all good, we're with homiesAny problems, you can call usIt's all love, it's all loveSo good, so right, hey babySo good, so rightYou know it feels so goodSo good, so rightTo be with you tonightSo good, so rightTo be with you tonightSo good, so rightTo be with you tonight"
Hey Ma,10 Day,4/3/2012,"Hey Ma, hey Ma, hey MaHey Ma, hey Ma, hey MaI said 'Hey Ma', don't go stretching your walletThese niggas gotta pay me for taking a year from collegeGo on get ya nails polished, stylist for your eyelidsAnd a pilot for your mileage for them frequent flights to your islandMs. Brown and Ms. Pollock, little boy done grown upLittle voice done blown up, middle-class that bonusHey Ma, Hey Mama Jan; God just gave me another chanceRod just gave me another line, probably gave me another fan7-7-3, Oh, since Kanye was a three-oldDown the street from D. Rose, was practicing his free-throwsShout out to that Gulf Shrimp, shout out to King GyroShout out that Ms. Moody, auntie Toni them my heroesWe gon' get this paper (Put that on my mama)You gon' see us laid up (Put that on my mama)Monica and Ava, thanks for all the favorsGot my money saved up (Put that on my mama)We gon' get this paper (Put that on my mama)You gon' see us laid up (Put that on my mama)Monica and Ava, thanks for all the favorsGot my money saved up (Put that on my mama)Hey Ma, hey Ma I know I never did behave a lotNever got good grades a lotAnd turned your hairs to grays a lotAnd go in stores and take a lotAnd never shopped but saved a lotSo you ain't gotta shop at Save A LotAnd you ain't gotta worry about Chase a lotThey playing with your checks, your shitCause they gonna take your pay or notQue Sera gotta dance, fuck them niggas you smarter thanWe just gonna beg your pardon themSave Money, my patna demI'm part of them, It's part of meThis Save Mula, Bo squad IIII'm riding around my side of townHot boxing no cops aroundI had the tux I had the gownJust had a show, just had to bounceIt's Chance ho, #10DayChano no hable inglesThat language be that chanish but ooh!Muy calienteSo she just gonna throw her steps onAnd haters gonna throw that epsomAnd we just gonna throw a partyAnd I'm gonna just throw my teflonCause family be that blood thoughAnd I ain't even flexinBut twin bro be that VictorAnd Big Cuz be that Chef SeanUh, uh, uh-uh-uh-uh(Yo, I'm gonna sing)In what you be, in what you doDon't stop (being you)I said don’t stop, in what you be, in what you doDon’t stop (being you)Don't stop, in what you be, in what you doDon't stop (being you)10 DayWe gon' get this paper (Put that on my mama)You gon' see us laid up (Put that on my mama)Monica and Ava, thanks for all the favorsGot my money saved up (Put that on my mama)We gon' get this paper (Put that on my mama)You gon' see us laid up (Put that on my mama)Monica and Ava, thanks for all the favorsGot my money saved up (Put that on my mama)Ayo I wanna thank, MC Tree mamaI wanna thank Fox mama, I wanna thank Robbie mamaLili mama, Peter mamaMY mama, my dad mamaYour mama, I wanna thank momsI wanna thank, L-Boog mama, I wanna thank Tom Fool mamaI wanna thank, Talent mama, Marcus mamaI wanna thank, Thelonious mama, Vic mama, Reese mamaI just wanna, I wanna thank anybody whose been a mother to a motherless childI love you mommy10DayI hope y'all had a good timeIGH!"
Good Ass Intro (feat. BJ The Chicago Kid),Acid Rap,4/30/2013,"Even better than I was the last time babyOoh ooh ooh ooh(Yo, we back)I'm good, ooh, yeah, I'm goodEven better than I was the last time babyOoh ooh ooh ooh, I'm good(We back and we back and we back)So good...(And we back and we back and we back and we back)Even better than I was the last timeRap just make me anxious, and acid made me crazyThem squares just made me looser and that wax just made me lazyAnd I still make this song, and I'mma make anotherIf you ever actually hit me, better watch out for my brotherBetter bet I'd take that deal, gotta watch out for my motherGet a watch with all that glitters, come in clutters, different colorsBen-a-Baller, Benford, butlers, chauffeurs, hit a stain-er, did I stutter?Did a ton of drugs and did better than all my Alma materMotherfucker money dance, hundreds zan, gallon leanMake a joke 'bout Leno's hair then piggy back on Fallon's spleenBalancing on sporadicity and fucking pure joyNightly searches for a bed and I just came off tour with TroyBut I can't complain, I got some motherfucking bitchesHow many lab partners have I fucked since I got suspended?Mr. Bennett, you done did it, you did it, you did itYou did a good ass job, you did a good ass jobAnd I'm goodEven better than I was the last time babyOoh ooh ooh ooh, I'm goodI'm good, so good...Even better than I was the last time babyOoh ooh ooh oohI'm good (Even better than I was the last time)So good...Work, work, work, work, bang nigga, bangTwerk, twerk, merge, swerve, dang, pick a laneFlip a bird; pigeon, plane, it's a word, it's a shameBut God I'm good, swear I couldn’t be betterKicking dirt on the shirts of the lamesKeep a tab on my exes, keep some ""x"" on my tongueKeep my work out in Texas, that's just me flexing my lungsSee them showing they teeth, that's just them flapping they gumsIf they bite and I'm snapping, clap clap collapsing they lungsCall me Chancelor The Rapper, please say ""The Rapper""Magical word (poof), please say 'KadabraReplay the replays; Green Bay, the PackersCremate your teammates and freebase the ashesMatches to gas leaks, dusted dusk 'til dawnIt's just us, and trust ya bottom, bitch, my stuff the fucking bombI'm the motherfucking fucker, fuck a niggas fucking dumbThis your favorite fucking album, I ain't even fucking doneI'm good! IGH!Ooh ooh ooh ooh, I'm goodOoh, yeah, I'm good, so good (I'm good, I'm good)Even better than I was the last time babyOoh ooh ooh ooh(I'm better than the last time, yeah, yeah)I'm good (I'm gonna be)So good...Even better than I was, even better than I was(I'm gonna be so good...)Even better than I was(Ooh, I'm gonna be, I'm gonna be)Even better than I was, even better than I was(I'm gonna be so good...)Even better than I was (So good, so good, so good, yeahI'm gonna be, I'm gonna beI'm gonna be so good...)SoSo, soSo, soSo, so, so, so, so, soSo, so, so, so, so, IGH(I'm gonna be, I'm gonna be)So, soSo, soSo, soSo, so, soDid a good ass job, did a good ass jobAnd I'm goodNa-na-na-na-na-na-naNa-na-na-na-na-na-naNa-na-na-na-na-na-naNa-na-na-na-na-na-naNa-na-na-na-na-na-naNa-na-na-na-na-na-naIGH, IGH, IGH, IGH, IGHIGH"
Pusha Man/Paranoia (feat. Lily K & Nate Fox),Acid Rap,4/30/2013,"Ten damn daysAnd all I got to show for it is shoes, and shows, and chauffeurs with road rageStill the same damn ad-lib: IGH!, old waysStill got a letterman, no practiceStill got a burner, man, no lackingStill outtin' Jams nigga, no JacksonNo Jordan and we toe-taggingI'll take you to land, where the lake made of sandAnd the milk don't pour and the honey don't danceAnd the money ain't yoursNow it's just a red pillGot a blue and a hand full of AdvilsI'm the new Nitty, fuck it, Nitty the old meSo I'mma tell the buyer what Nitty told meI got that mmm, mmmI got that God damnI'm your pusha manI'm your, I'm your pusha manPimp slappin', toe taggin'I'm just tryna fight the manI'm your pusha manI'm your, I'm your pusha manI got that mmm, mmmI got that God damnI'm your pusha manI'm your, I'm your pusha manPimp slappin', toe taggin'I'm just tryna fight the manI'm your pusha manI'm your, I'm your pusha manPimp slappin', toe taggin'I'm just tryna fight the manI'm your pusha manI'm your, I'm your pusha manYou a laaaaaaaame, and your bitch break down my weed sometimesSee my face in the streets, in the tweetsAnd a Reader or a RedEye if you read Sun-TimesShe got blisters on her knees, she's a fiend for the DEven though I only beat one timeOne time, it was one two timesIt was two plus me equals threesome timeShouts out to Nate, I jackball and I bop, I flexGot neck from all these thots I sexRastafari them shottas, yesHouse safari, mi casa, yesPoppy fields of that popeyeShe came to party, she popped a MollySaid, ""Come to papa"", she said, ""Papa, yes""I got that mmm, mmmI got that God damnI'm your pusha manI'm your, I'm your pusha manPimp slappin', toe taggin'I'm just tryna fight the manI'm your pusha manI'm your, I'm your pusha manI got that mmm, mmmI got that God damnI'm your pusha manI'm your, I'm your pusha manPimp slappin', toe taggin'I'm just tryna fight the manI'm your pusha manI'm your, I'm your pusha manI've been riding around with my blunt on my lipsWith the sun in my eyes and my gun on my hipParanoia on my mind, got my mind on the fritzBut a lot of niggas dyin', so my 9 with the shitsI've been riding around with my blunt on my lipsWith the sun in my eyes and my gun on my hipParanoia on my mind, got my mind on the fritzBut a lot of niggas dyin', so my 9 with the shitsMove to the neighborhood; I bet they don't stay for good, watchSomebody'll steal daddy's Rollie, call it the neighborhood watchPray for a safer hood when my paper good, watchCaptain Save-a-Hood, hood savior, baby boyStill getting ID'd for Swishers (Mama still wash my clothes)Still with the Save Money militia (I'mma still watch my bros)Trapped in the middle of the map with a little-bitty rock and a little bit of rapThat, with a literary knack, and a little shitty Mac, and like literally jackI've been riding around with my blunt on my lipsWith the sun in my eyes and my gun on my hipParanoia on my mind, got my mind on the fritzBut a lot of niggas dyin', so my 9 with the shitsI've been riding around with my blunt on my lipsWith the sun in my eyes and my gun on my hipParanoia on my mind, got my mind on the fritzBut a lot of niggas dyin', so my 9 with the shitsThey murking kids, they murder kids hereWhy you think they don't talk about it? They deserted us hereWhere the fuck is Matt Lauer at? Somebody get Katie Couric in hereProbably scared of all the refugees, look like we had a fuckin' hurricane hereThey'll be shooting whether it's dark or not, I mean, the days is pretty dark a lotDown here, it's easier to find a gun than it is to find a fucking parking spotNo love for the opposition, specifically a cop position'Cause they've never been in our positionGetting violations for the nation, correlating, you dry snitchin'I've been riding around with my blunt on my lipsWith the sun in my eyes and my gun on my hipParanoia on my mind, got my mind on the fritzBut a lot of niggas dyin', so my 9 with the shitsI know you scaredYou should ask us if we scared tooI know you scaredMe tooI know you scaredYou should ask us if we scared tooIf you was thereThen we'd just knew you cared tooIt just got warm out, this the shit I've been warned 'boutI hope that it storm in the mornin', I hope that it's pourin' outI hate crowded beaches, I hate the sound of fireworksAnd I ponder what's worse between knowing it's over and dyin' first'Cause everybody dies in the summerWanna say your goodbyes, tell them while it's springI heard everybody's dying in the summerSo pray to God for a little more springI know you scaredYou should ask us if we scared tooIf you was thereThen we'd just knew you cared too"
Cocoa Butter Kisses (feat. Vic Mensa & Twista),Acid Rap,4/30/2013,"Na-na-na-na-na-na-na-na-na-na-na, IGH!Na-na-na-na-na-na-na-na-na-na-na, IGH!Cigarettes on cigarettes, my mama think I stankI got burn holes in my hoodies, all my homies think it's dankI miss my cocoa butter kissesI miss my cocoa butter kissesCigarettes on cigarettes, my mama think I stankI got burn holes in my hoodies, all my homies think it's dankI miss my cocoa butter kissesI miss my cocoa butter kissesOkie dokie, alkie, keep it lowkey like Thor lil broOr he'll go blow the loudy, saudy of sour SaudiWiley up off peyote, wilding like that coyoteIf I sip any Henny, my belly just might be outiePull up inside a huggy, Starsky & Hutch a dougieI just opened up the pack in an hour I'll ash my luckyTonight she just yelling ""fuck me""Two weeks she'll be yelling fuck meUsed to like orange cassette tapes with Timmy, Tommy, and ChuckieAnd Chuck E. Cheese's pizzas, Jesus pieces, sing Jesus love mePut Visine inside my eyes so my grandma would fucking hug meOh generation above me, I know you still remember meMy afro look just like daddy's, y'all taught me how to go hunting (BLAM!)Cigarettes on cigarettes, my mama think I stankI got burn holes in my hoodies, all my homies think it's dankI miss my cocoa butter kissesI miss my cocoa butter kissesCigarettes on cigarettes, my mama think I stank (Innanet)I got burn holes in my hoodies, all my homies think it's dankI miss my cocoa butter kissesI miss my cocoa butter kissesI will smoke a little something but I don't inhaleEverywhere that I go, everywhere they be asking how's it goingSay the going's well, go figure, Victor's light skinnedJesus got me feeling like Colin Powell, all praise to the GodGod knows he's a pro, he's a pro like COINTELCheck, check mate, check me take me to the bedroomLike she know me well, I mean normallyYou see Norma Jean wouldn't kick it with Farmer PhilBut these kids these days, they get so highBurn trees, smoke chlorophyll, 'til they can't feel shitShit-faced, faced it, 15 hits on this LElevated, train, and the craziest thingGot me feeling like Lauryn Hill, miseducated, my dick delegatedRap Bill Bellamy, they said I shoulda never made itProbably shoulda been dead or in jailDeadbeat dad, enough of that jazzAsshole, absinthe up in that glassAre we there yet? Ice cubes in a bongRip, brain dead, take a tug and then passI think we all addictedYeah, I think we all addictedReally though, I think we all addictedI think we all addictedCigarettes on cigarettes, my momma think I stankI got burn holes in my memories, my homies think it's dankI miss my cocoa butter kissesI think we all addictedCigarettes on cigarettes, my mama think I stankI got burn holes in my hoodies, all my homies think it's dankI miss my cocoa butter kissesI miss my cocoa butter kissesI could make a flow, pitter patter with a patter pitter - juicyUsed to be in a jalabiya and a kufiTrying hard not to be addicted to a groupieI ended up on an album cover in a CoogiYou see, I be still a God but a goofyYou be flowing about drugs and a UziThat's the new principle, sometimes I'mma be about some hoesSometimes I'mma wanna make a movieAnd when it come to rapping fast, I'm the Higgs BosonAnd though my style freakishI could still break your body down to five pieces like I did Voltron'Cause I'm addicted to the craft and I be off a OGKnow me, I'm the Obi-Wan Kenobi of the dope seeNever scared of mean spirits, methamphetamine lyricsCooler like I'm offa codeine, low keyDon't be so judgmental, even though I'm reminiscingIf I don't know what I miss isI'ma end up figuring out that it's homeAnd my mother and my grandmother cocoa butter kissesThis is just a testament to the ones that raised meThe ones that I praise and I'm thankingI need 'em but the chronic all up in my clothesAnd I wanna get a hug, and I can't 'cause I'm stankingNever too old for a spanking, IGH!Cigarettes on cigarettes, my momma think I stankI got burn holes in my memories, my homies think it's dankI miss my cocoa butter kissesI think we all addictedCigarettes on cigarettes, my mama think I stankI got burn holes in my hoodies, all my homies think it's dankI miss my cocoa butter kissesI miss my cocoa butter kissesCigarettes on cigarettes, my mama think I stankI got burn holes in my hoodies, all my homies think it's dankI miss my cocoa butter kissesI miss my cocoa butter kisses"
JUICE,Acid Rap,4/30/2013,"Thirsty, thirsty, tryna chooseI mean, I know I'm pretty coolMy Nitty bag, my kitty boostI got the juice, I got the juiceChano, Chatham's ownFoolies glad I'm homeEven my haters kinda glad I'm onRest In Peace to my VagabondRapper song, singer, suspended, subpoenaFor misdemeanors, dreamerHeld back ass is lowkey still a seniorAnd I still shake up BO Squad, praying for my BroBoisCity on the come up, shout that nigga Sosa!Shout my nigga Fat Trel, shout my nigga JosephPlaying Buenos Aires while they sleepin': buenas noches!Wonder if I wrote this, 'cause it's so crispThe most brokest cold stock broker, winter solsticeI could win an Oscar, Russian accent huskyAcid addict, costly avid actor, Kevin CostnerJuice! Juice! Juice! Juice!I got the juice, I got the juice (Yup!)Juice! Juice! Juice! Juice!I got the juice, I got the juice (Yup!)God give me one sentence moreMaybe I just gotta get suspended more?Hashtag it, get mentions for itMake you love it, get it trending moreAnd then act humbleHear some bull that some dude mumbleWantin' to jump dude, but let that nigga punk youKnowin' bitch niggas wanna bring guns to the rumbles, IGH!But I love y'all souls, don't let the juice spill Pac!Blue pill pop 'til you feel good enough to popThe popped bitch in the blue heels, yop!That one, drown in the juice niggaHunnid proof get found in a youth niggaStop with all the tryna' introduce niggaEverybody know you dude, you the new nigga!How's it feel to be you? Yo no séI ain't really been myself since Rod passedI ain't even really need that shop classI ain't really been weak since pop's smashedI'm a genius, a mothafuckin pop smashHit sensei, masterJack and Lindsey, Wiley, KembeBeen paid, 10 Day been they FAFSAJuice! Juice! Juice! Juice!I got the juice, I got the juice (Yup!)Juice! Juice! Juice! Juice!I got the juice, I got the juice (Yup!)Jugo, you never tasted paperTripped, racing yaself tryna' chase the paperI just faced a Veg-erAnd you love being Kobe when you make the lay-er'Til you realize everybody in the world fuckin' hates the LakersAnd then everybody wanna sip'Til the juice spill everybody wanna bibAnd then everybody wanna dipTold you I ain't worried, I ain't scared of the boothAll you can do is spit a verse of the truthMerge the mixture with the purest and the fruitsAnd the thirst, just the worst, it's the curse of the juice!Juice! Juice! Juice! Juice!I got the juice, I got the juice (Yup!)Juice! Juice! Juice! Juice!I got the juice, I got the juice (Yup!)Thirsty, thirsty, tryna chooseI mean, I know I'm pretty coolMy Nitty bag, my kitty boostI got the juice, I got the juice(Juice, juice, juice, juice) Yup!(Juice, juice, juice, juice) Yup!Yup! Yup!Yup!"
Lost (feat. Noname Gypsy),Acid Rap,4/30/2013,"My druggyLove meWhen I'm uglyHug meWhen I'm bummy, scummyI'm your hubbyLet's get lost, let's get lostDamn, I'm in so deep, girlProbably 'cause you're emptyYou can't even speak (IGH!)Damn, your mouth so mintyOoh your mama hate meDaddy wouldn't let you, if he ever met meIf he ever met youPut that shit behind usAnd put this in your sinusMine is all up in my gumsMinus all that shit it's lined withI say oh oh oh ohhYou been scratchin', you been fiendin'I'mma fix you, I'mma fuck youI'mma get rid of them demonsIt's myMy druggyWhen I'm uglyHug meWhen I'm bummy, scummyI'm your hubbyLet's get lost, let's get lostDamn, I need a minute... aight, lehgoShe fell in love, it fell apart... aight, let goShe met her match, I let her matchShe lit her match, she let me smokeYeah me mad petty, yeah me bogusYeah yeah yeah yeah yeah me knowYeah she knew too (IGH!), it made her love itHer pussy like me, her heart like ""fuck it""So dance for daddy like GatorAin't no partners on this tripAnd lose yourself in my roomAnd find yourself in my gripI'm sayin'My druggyWhen I'm uglyHug meWhen I'm bummy, scummyI'm your hubbyLet's get lost, let's get lostI blessed myself inside your arms one daySwear to God there I was when the dressAnd the silver buttons fade awayMiss Mary Mattress, geriatricsFuck me into open caskets, I wanna die with thisI wanna stop seeing my psychiatristShe said ""pill pop, baby girl 'cause I promise you, you tweakedThe empty bottled loneliness, this happiness you seek""The masochism that you preachPractice back flips, tragic actressOn a movie with no screenWhen the only time he loves me is naked in my dreamsMy druggyWhen I'm uglyHug meWhen I'm bummy, scummyI'm your hubbyLet's get lost, let's get lostIGH!"
Everybody’s Something (feat. BJ The Chicago Kid & Saba),Acid Rap,4/30/2013,"Ladies loving my music is like some sex shitNiggas trying to grip up my mic like it's a dick (On the mic like it's a dick)Run around the corner to pick up the new shit (The shit)Toss this in the deck so niggas can catch repWhat's good good? And what's good evil?And what's good, gangstas? And what's good, people?And why's God's phone die every time that I call on Him?If his son had a Twitter wonder if I would follow himSwallow them synonyms like cinnamon CinnabonKeep all them sentiments down to a minimumStudious Gluteus Maxim models is sending himPics of they genitalia, tallied up ten of 'emI slurped too many pain-kills down, I'm off a lotI got a lot off days, but it ain't often that I'm off the clockYa kna wha mean, I got the Chicago BluesWe invented rock before the Stones got throughWe just aiming back 'cause the cops shot youBuck buck bang bang, yelling ""Fuck Fox News!""Booyaka buckle up, mothafuck opps tooAin't no knuckling up 'em young 'cause it just not coolNice to see you Father New YearMiddle finger Uncle SamuelShooting death with weighted diceAnd hitting stains on birthday candlesI know somebody, somebody loves my ass'Cause they help me beat my demon's assEverybody's somebody's everythingI know you rightNobody's nothingThat's rightEverybody's somebody's everythingI know you rightNobody's nothingThat's rightEverybody's somebody's everythingI know you rightNobody's nothingThat's rightRight? IGHI used to tell hoes I was dark light or off whiteBut I'd fight if a nigga said that I talk whiteAnd both my parents was blackBut they saw it fit that I talk rightWith my drawers hid butMy hard head stayed in the clouds like a lost kiteBut gravity had me up in a submission holdLike I'm dancing with the Devil with two left feet and I'm pigeon toedIn two small point ballet shoes with a missing soleAnd two missing toesBut it's love like Cupid kissing a mistletoeNice to see you Father New YearMiddle finger Uncle SamuelShooting death with weighted diceAnd hitting stains on birthday candlesI know somebody, somebody loves my ass'Cause they help me beat my demons assLike Cassius ducking the draft and now the fight is overThe type to love from a distance not the type that told herSpent three days on the rap, trash it and type it overWith babies on the block under arms like fighting odorsCoppers and quotasHold ya head like 2Pac had taughtObviously they are on a come upWith better chances tobogganing in the fucking summerConcoctions for the bad days and a condom for the good onesAll odds against us we tryna get luckyDoper than LuckyYou're ending happy that's only a tuggingLike Satan masturbating shit come hotBut y'all still love me ughHow father time a deadbeatMaybe I'm adoptedThat'll explain why all of my shit been so timeless, IGHEverybody's somebody's everythingI know you rightNobody's nothingThat's rightEverybody's somebody's everythingI know you rightNobody's nothingThat's rightEverybody's somebody's everythingI know you rightNobody's nothingThat's right"
